"";"FIPS";"Admin2";"Province_State";"Country_Region";"Last_Update";"Lat";"Long_";"Confirmed";"Deaths";"Recovered";"Active";"Combined_Key";"Incident_Rate";"Case_Fatality_Ratio"
"1";NA;NA;NA;"Afghanistan";2021-01-03 05:22:52;33,93911;67,709953;52586;2211;41727;8648;"Afghanistan";135,084102351035;4,20454113262085
"2";NA;NA;NA;"Albania";2021-01-03 05:22:52;41,1533;20,1683;58991;1190;34353;23448;"Albania";2049,86447981097;2,01725686969199
"3";NA;NA;NA;"Algeria";2021-01-03 05:22:52;28,0339;1,6596;100159;2769;67611;29779;"Algeria";228,407337996499;2,76460427919608
"4";NA;NA;NA;"Andorra";2021-01-03 05:22:52;42,5063;1,5218;8166;84;7463;619;"Andorra";10568,8215880412;1,02865540044085
"5";NA;NA;NA;"Angola";2021-01-03 05:22:52;-11,2027;17,8739;17608;407;11189;6012;"Angola";53,5746863623214;2,31144934120854
"6";NA;NA;NA;"Antigua and Barbuda";2021-01-03 05:22:52;17,0608;-61,7964;159;5;148;6;"Antigua and Barbuda";162,364185932522;3,14465408805031
"7";NA;NA;NA;"Argentina";2021-01-03 05:22:52;-38,4161;-63,6167;1634834;43375;1447092;144367;"Argentina";3617,22733519992;2,65317457307592
"8";NA;NA;NA;"Armenia";2021-01-03 05:22:52;40,0691;45,0382;159798;2836;143640;13322;"Armenia";5392,68920375509;1,77474061002015
"9";NA;NA;"Australian Capital Territory";"Australia";2021-01-03 05:22:52;-35,4735;149,0124;118;3;114;1;"Australian Capital Territory, Australia";27,5636533520206;2,54237288135593
"10";NA;NA;"New South Wales";"Australia";2021-01-03 05:22:52;-33,8688;151,2093;4958;54;0;4904;"New South Wales, Australia";61,0741561961074;1,08914885034288
"11";NA;NA;"Northern Territory";"Australia";2021-01-03 05:22:52;-12,4634;130,8456;81;0;71;10;"Northern Territory, Australia";32,9804560260586;0
"12";NA;NA;"Queensland";"Australia";2021-01-03 05:22:52;-27,4698;153,0251;1255;6;1232;17;"Queensland, Australia";24,5332812041834;0,47808764940239
"13";NA;NA;"South Australia";"Australia";2021-01-03 05:22:52;-34,9285;138,6007;580;4;566;10;"South Australia, Australia";33,0202106461714;0,689655172413793
"14";NA;NA;"Tasmania";"Australia";2021-01-03 05:22:52;-42,8821;147,3272;234;13;221;0;"Tasmania, Australia";43,6974789915966;5,55555555555556
"15";NA;NA;"Victoria";"Australia";2021-01-03 05:22:52;-37,8136;144,9631;20391;820;19539;32;"Victoria, Australia";307,5612000181;4,02138198224707
"16";NA;NA;"Western Australia";"Australia";2021-01-03 05:22:52;-31,9505;115,8605;867;9;838;20;"Western Australia, Australia";32,9582604728959;1,03806228373702
"17";NA;NA;NA;"Austria";2021-01-03 05:22:52;47,5162;14,5501;364302;6275;336922;21105;"Austria";4044,92360987742;1,72247201497659
"18";NA;NA;NA;"Azerbaijan";2021-01-03 05:22:52;40,1431;47,5769;219462;2703;191925;24834;"Azerbaijan";2164,49563204107;1,23164830357875
"19";NA;NA;NA;"Bahamas";2021-01-03 05:22:52;25,025885;-78,035889;7887;171;6239;1477;"Bahamas";2005,60460574498;2,16812476226702
